Model,MAE,RMSE,WAPE,WAPE reduction vs naive (%)
DNN (original),3.344865805317861,7.653521456981991,34.63890629575068,15.710869240569533
DNN (tuned: DNN D - Deep),3.3532344358308475,7.789365612538873,34.72557052236994,15.4999834733543
ANN,3.3935988481313233,7.666704367813746,35.14357805293704,14.482818234314443
Seasonal Naive,3.968324,8.76260029899801,41.09534169312239,0.0
