MAE,RMSE,WAPE,store_id
4.175971044370519,8.63621626430888,39.72687916826851,CA_1
4.357787096471911,8.713302977869224,44.142553562593214,CA_2
5.108407908916273,11.164811359685908,34.744385401645935,CA_3
2.9133556669634073,5.388466732235258,48.311930989337995,CA_4
3.3104647893923067,7.260843587311344,43.474067476707106,TX_1
3.655015696012744,7.173870263822139,39.5128826260879,TX_2
3.6448132877289976,7.707679215351041,41.55221385238491,TX_3
3.60920442299583,6.626162015228313,41.00918872012734,WI_1
5.14454387855503,13.535992546648739,42.37398515173881,WI_2
3.823220728107576,8.812596458839078,42.506065392945004,WI_3
